ID,Description,Entry_ID,Antonym,Comment,Grammar_Note,Metathesised_Form,Scientific_Name,Synonym,Usage
SN000113,story,asing,,,,,,,
SN000114,salt,asir,,,,,,,
SN000115,hundred,aska,,,,,,,
SN000116,"also, even; enclitic particle attaching to NPs or a verbal unit marking additive focus",aso,,,"Never appears clause finally, always has some clausal element following it.",,,,
SN000117,"pass, hand over",asok,,,,,,,
SN000118,"slide, move along/over a surface",asok,,,,,,,
SN000119,"stretch out (one's) hand, reach with (one's) hand",asok,,,,,,,
SN000120,agree on a time,ato_amuing,,,,ato amuni,,,
SN000121,"peck, bite something with beak (of bird)",atok,,,,,,,
SN000122,"lunge at with one's mouth, strike to bite (of snake)",atok,,,,,,,
SN000123,"belly, stomach",-atok,,,,,,,
SN000124,"fat-bellied, porky",-atok_sibai,,,,,,,
SN000125,"earth, land, soil",atoku,,,,,,,
SN000126,"land all over, all the lands",atoku_aweri,,,,,,,
SN000127,"mountain, hill; any kind of mound large or small",atoku_bobung,,,,,,,
SN000128,"what's that, why that; proximal marked interogative",atrona,,,,,,,
SN000129,swell,atu,,,,,,,
SN000130,"faeces, shit, poo",LX000011,,,,,,,
SN000131,"faeces, excrement (of someone)",-atu,,,,,,,
SN000132,greedy,atupak,,,,,,,
SN000133,"Atauro, island part of Timor-Leste (also known as Pulau Kambing)",Aturung,,,,,,,
SN000134,"palmyra palm, leaves of which are used as wrappers for rolling tobaccos into cigarettes",aukol,,,,,,,
SN000135,"other, different, foreign",aumeng,,,,,,,
SN000136,"scared, frightened",-aumeng,,,,,,,
SN000137,"yawn, show signs of being sleepy",awaki,,,,,,,
SN000138,"full, filled as much as possible",awe,,,,,,,
SN000139,"replete with, covered with, having a large quantity of (something)",awe,,,,,,,
SN000140,"bunch, cluster",aweri,,,,,,,
SN000141,"fork in a tree trunk, main branch in a tree",awesing,,,,,,,
SN000142,"classifier for fruit of longer shapes (e.g., banana, papaya, mango)",awi,,,,,,,
SN000143,classifier for eggs,awi,,,,,,,
SN000144,fishing hook,awil,,,,,,,
SN000145,"surprised, taken aback",awing,,,,,,,
SN000146,rain,aya,,,,,,,
SN000147,"high cloud, not near the ground",aya_keng,,,,,,,
SN000148,"storm, wind and rain",LX000012,,,,,,,
SN000149,"drizzle, light rain",LX000013,,,,,,,
SN000150,"light in weight, not heavy",ayakal,,,,,,,
SN000151,top part (of something),ayanamo,,,,,,,
SN000152,"tall, high; be of great vertical extent (of animate or inanimate)",ayang,,,,,,,
SN000153,"top, height; high location or position",LX000014,,,,,,,
SN000154,highlands,ayang_leng,,,,,,,
SN000155,"high region, highlands",ayang_tona,,,,,,,
SN000156,"bad, evil, vicious (e.g., people, animals)",ayarang,,,,,,,
SN000157,"very bad, vicious (e.g., people, animals)",LX000015,,,,,,,
SN000158,"in the beginning, at the start",ayebur,,,,,,,
SN000159,"board, plank, piece of wood",ayepang,,,,,,,
SN000160,"the, definite article used as a noun phrase determiner",ba,,,,,,,
SN000161,clause-final definite article used in domain-creating constructions which set the scene for the event described in the following clause,ba,,,,,,,
SN000162,"relativiser, marks the head noun of a relative clause, typically combines with [=a](LX000002) closing the relative clause",LX000016,,,,,,,
SN000163,"the one, definite article referring to a single individual used as an noun phrase determiner",ba_no,,,,,,,
SN000164,"shirt, any top garment",badu,,,,,,,
SN000165,sheath with machete in it,bakal,,,,,,,
SN000166,"back (part of the body), including the ribs",-bakar,,,,,,,
SN000167,"whistle, flute",bakual,,,,,,,
SN000168,"big, large in size or stature",bal,,,,,,,
SN000169,"lots, many, much; of a great number",bal,,,,,,,
SN000170,"look after, care for in the sense of feed and provide the essential for (human or animal)",bali,,,,,,,
SN000171,"guest, visitor",baniak,,,,,,,
SN000172,cage,bar,,,,,,,
SN000173,rat disk mounted on the top of house posts to prevent rodents entering the house,LX000017,,,,,,,
SN000174,"side, position to the left or right of a central point",-bar,,,,,,,
SN000175,"side of an object which is steep, such as the pitch of a roof or the face of a mountain",-bar,,,,,,,
SN000176,back of (a house),-bar,,,,,,,
SN000177,"enough, sufficient",barang,,,,,,,
SN000178,shoulder,-barang,,,,,,,
SN000179,branch,-barang,,,,,,,
SN000180,"shelf, rack",bas,,,,,,,
SN000181,"market, place where goods are bought and sold",basar,,,,,,,
SN000182,"rib, ribcage",-baseri,,,,,,,
SN000183,chisel,bat,,,,,,,
SN000184,carving,bat_bloing,,,,,,,
SN000185,crest or crown of the palm tree,beb,,,,,,,
SN000186,butterfly (generic),bemberlak,,,,,,,
SN000187,"parallel cousin, sibling of spouse, brother-in-law or sister-in-law",-beng,,,,,,,
SN000188,"strong, have physical strength",-ber,,,,,,,
SN000189,"scatter, throw in various random directions",besi,,,,,,,
SN000190,"pull out, remove from an location inside",beteng,,,,,,,
SN000191,elephant bamboo,beting,,,,,,,
SN000192,grasshopper (generic),betkol,,,,,,,
SN000193,"usually, typically",bias,,,,,,,
SN000194,"strong, tight",bik,,,,,,,
SN000195,too,bik,,,"With this meaning, [bik](bik) occurs as the first verb in a serial verb construction.",,,,
SN000196,always,bik,,,"With this meaning, [bik](bik) occurs as a second verb in a serial verb construction.",,,,
SN000197,papaya,bilkai,,,,,,,
SN000198,"mouth, especially outside of mouth, including lips and areas around",-bir,,,,,,,
SN000199,"open mouth, have mouth open",-bir_ak,,,,,,,
SN000200,"lip, outer part of mouth",LX000018,,,,,,,
SN000201,"expression that characterises someone who has prophesizing power, what he says comes true",-bir_tutung,,,,,,,
SN000202,"broken up, disassembled, taken to bits",birasi,,,,,,,
SN000203,"collapse, fallen apart",birasi,,,,,,,
SN000204,"disperse, break up (of a group of people)",biresi,,,,,,,
SN000205,"blister, boil, ulcer; skin lesion typically filled with pus",biring,,,,,,,
SN000206,"speak, talk",bisar,,,,,,,
SN000207,"converse, talk back and forth, talk a lot",LX000019,,,,,,,
SN000208,mat,bit,,,,,,,
SN000209,rubbish,biting_makang,,,,,,,
SN000210,wing (of a bird),-bitir,,,,,,,
SN000211,"edge, side, lip",-bitir,,,,,,,
SN000212,write,bloing,,,,bloni,,,
SN000213,"write and draw, any activity using paper and pen",bloing_sikeri,,,,,,,
SN000214,emphatic clause-final article,bo,,,"Like the definite article, this particle can also be marked by [o-](o-) and [a-](LX000001).",,,,
SN000215,"highlands, mountainous areas, summit",bobung_ayang,,,,,,,
SN000216,"push, shove away",-bok,,,,,,,
SN000217,"bad, not having good character or favorable attributes",boli,,,,,,,
SN000218,"broken, not working or functioning as it should",boli,,,,,,,
SN000219,"not possible, cannot",boli,,,In this sense [boli](boli) follows a verb denoting the action.,boil,,,
SN000220,tree,bong,,,,,,,
SN000221,wood,bong,,,,,,,
SN000222,"building materials, stone and wood used in building",bong_wor,,,,,,,
SN000223,"cassava, manioc",bongkau,,,,,Manihot esculenta,,
SN000224,"very, general intensifier",borong,,,Occurs postpredicatively.,,,,
SN000225,"just, do without constraint",LX000020,,,Occurs prepredicatively.,,,,
SN000226,"small, smooth pebble found on beaches",bosir,,,,,,,
SN000227,cob (of maize),botong,,,,,,,
SN000228,"vicious, savage, ferocious",braing,,,,,,,
SN000229,"machine, appliance, motor",bruking,,,,,,,
SN000230,spider,buinunuk,,,,,,,
SN000231,"horn, antler; any bony growth out of an animal's head",-bukur,,,Typically only in the third person.,,,,
SN000232,"tip, point, end (of something)",-bul,,,Typically only in the third person.,,,,
SN000233,millet,bula,,,,,,,
SN000234,fly,buler,,,,,,,
SN000235,"snap, break suddenly and completely",burik,,,,,,,
SN000236,outer husk of a coconut,butung,,,,,,,
SN000237,"divide up, share between",LX000021,,,,,,,
SN000238,"divide up completely, distribute until there is nothing left to give out",LX000022,,,,,,,
SN000239,"pick, pluck (of fruit)",LX000023,,,,,,,
SN000240,"slap, smack",LX000024,,,,,,,
SN000241,"move in circles, move around in a circulation motion",LX000025,,,,,,,
SN000242,"serve, offer food to",LX000026,,,,,,,
SN000243,"work, carry out a task",LX000026,,,,,,,
SN000244,"handcuffs, shackles",dadu,,,,,,,
SN000245,"trade, conduct trade",dagang_trai,,,,,,,
SN000246,"come up, ascend towards deictic centre",-dai,,,,,,,
SN000247,"come landwards, arrive",-dai,,,,,,,
SN000248,arrive by boat,-dai,,,,,,,
SN000249,(of earthquake) shake,-dai,,,,,,,
SN000250,"obtain by trickery, deceive",dai_alaku,,,,,,,
SN000251,"arrive/come from all over, come from every direction",-dai_-mai,,,,,,,
SN000252,bamboo comb,dakar,,,,,,,
SN000253,chop back the plants in a garden so that it is clear for cultivation,daki,,,,,,,
SN000254,"lazy, sluggish",dalang,,,,,,,
SN000255,roast (food) by putting onto the flames of a fire or in the coals of the fire,dali,,,,,,,
SN000256,"flare up, burn brightly (of a fire)",dali_lus,,,,,,,
SN000257,door,damat,,,,,,,
SN000258,needle,damu,,,,,,,
SN000259,liver (organ),-damuring,,,,,,,
SN000260,"be nearby to, close to",-dap,,,,,,,
SN000261,"imperfective aspect marker; still, continuingly",de,,,,,,,
SN000262,not yet,LX000027,,,"De 'still' occurs preverbally, while [naung](naung) 'not' postverbally, except where the predicate is elided or fronted.",,,,
SN000263,how much,deing,,,,,,,
SN000264,"plural word; independent word indicating plurality of reference, it's use is optional",LX000028,,,,,,,
SN000265,"several, some, a few",LX000028,,,,deni,,,
SN000266,name,-deing,,,,,,,
SN000267,when,deingte,,,,,,,
SN000268,"trousers, pants",dek,,,,,,,
SN000269,walking stick,dekeng,,,,,,,
SN000270,"roast, cook (food) by placing it beside a fire which is burning",dereng,,,,,,,
SN000271,"quick, fast, rapid, at a fast speed",diakal,,,,,,,
SN000272,"fry, cook in fat or oil",diari,,,,,,,
SN000273,"oven, stove; fireplace where cooking is done",diking,,,,,,,
SN000274,window,dinel,,,,,,,
SN000275,"service, government body or department",dings,,,,,,,
SN000276,see,-dir,,,,,,,
SN000277,"know, recognize",-dir,,,,,,,
SN000278,"appreciate, esteem, value",-dir_leng,,,,,,,
SN000279,"be polite to, be respectful of",-dir_leng,,,,,,,
SN000280,cave,ditok,,,,,,,
SN000281,"seasnake, sea eel",doilis,,,,,,,
SN000282,"sap, fluid which circulates in a plant, fruit",dok,,,,,,,
SN000283,"highest mountain, summit of summits",dolo_ayang,,,,,,,
SN000284,"bee, particularly the honey bee",dring,,,,,,,
SN000285,beehive,LX000029,,,,,,,
SN000286,bee,dring_nor,,,,,,,
SN000287,honey,dring_tok,,,,,,,
SN000288,Tiger's Claw tree,du,,,,,Erythrina variegata,,
SN000289,"all, floating post-verbal universal quantifer; denotes that a particular group of referents is wholly implicated in an event or that an individual displays a proper wholly.",LX000030,,,,,,,
SN000290,cough,dudung,,,,,,,
SN000291,"have a cold, be fluey, cough and splutter",dudung_asiding,,,,,,,
SN000292,mud,dukung,,,,,,,
SN000293,"bay, haborage, anchorage",duli,,,,,,,
SN000294,kind of small tree which is used for its vines,dulipak,,,,,,,
SN000295,forest,dum,,,,,,,
SN000296,thick,LX000031,,,,,,,
SN000297,"wild pig, boar",dum_pei,,,,,,,
SN000298,beeswax,dupaing,,,,,,,
SN000299,rat,durki,,,,,,,
SN000300,midday,LX000032,,,,,,,
SN000301,"bright, emitting or reflecting much light",LX000033,,,,,,,
SN000302,"speak openly about, confess one's feelings about, open one's heart about",LX000034,,,,,,,
SN000303,"lap up, lick up",LX000035,,,,,,,
SN000304,smooth,LX000036,,,,,,,
SN000305,sing,LX000037,,,,,,,
SN000306,"song, singing",LX000038,,,,,,,
SN000307,sail,LX000039,,,,,,,
SN000308,"songs, all different types of song",LX000040,,,,,,,
SN000309,sing songs,LX000041,,,,,,,
SN000310,"remainder, left-over",LX000042,,,,,,,
SN000311,2nd person for possessors of alienably and obligatory possessed nouns,e-,,,,,,,
SN000312,"2nd person singular prefix of the ""second"" (II) agreement series on verbs",e-,,,Only a small number of verbs take this series.,,,,
SN000313,question tag that cliticizes to the end of the clause,LX000043,,,,,,,
SN000314,"at first, in the beginning",ebur,,,,,,,
SN000315,"kind of bamboo that is smooth, hard and yellow",ek,,,,,Bambusa vulgaris,,
SN000316,"you independently (of anyone else, not connected with anyone else); 2nd person singular independent pronoun",enal,,,,,,,
SN000317,"crawl, move on hand and knees (of a baby)",er,,,,,,,
SN000318,"creep, move dragging body close to the ground (of many footed animals, insects)",er,,,,,,,
SN000319,slither (of a snake),er,,,,,,,
SN000320,classifier for counting trees,LX000044,,,,,,,
SN000321,"convey to (someone), communicate a message or information to (someone).",-eri,,,The P coindexed by the agreement prefix refers to the recipient of the information.,,,,
SN000322,"explain at great length to (someone), communicate to (someone) in detail.",-eri_-natutuk,,,The P argument coindexed by the agreement prefix refers to the recipient of the information.,,,,
SN000323,chest,-erkoda,,,,,,,
SN000324,pole for carrying items over shoulder,esal,,,,,,,
SN000325,"tired, panting and doing heavy breathing (chiefly because of illness)",esel,,,,,,,
SN000326,"visible, clearly to be seen",eseng,,,,,,,
SN000327,"understandable, easy to understand, apparent, explicit, obvious",eseng,,,,,,,
SN000328,wear (of clothes),-et_se,,,,,,,
SN000329,2nd person singular agentive pronoun,eta,,,"Agentive pronouns are also used in potentive contexts, that is, where the referent has the ability or intention to perform an action.",,,,
SN000330,not know how to do (something),-ete_boli,,,The P argument refers to the action that the A cannot do and may be coded with a noun or verb.,,,,
SN000331,know how to do (something),-ete_kang,,,The P refers to the action that the S/A cannot do and may be coded with a noun or verb.,,,,
SN000332,"laugh a lot, laugh one's heads off",-eti_yer,,,,,,,
SN000333,2nd person singular focus pronoun,ewe,,,,,,,
SN000334,yours; 2nd person singular possessive pronoun,eweng,,,,,,,
SN000335,"3rd person prefix from the ""first"" (I) agreement series on verbs",g-,,,,,,,
SN000336,3rd person prefix for possessors of inalienably possessed nouns,g-,,,,,,,
SN000337,"3rd person prefix of the ""third"" (III) agreement series on verbs",ga-,,,This prefix series is mostly found on verbs marked with [le-](le-).,,,,
SN000338,3rd person oblique pronoun,gadi,,,,,,,
SN000339,"3rd person pronoun, used for S/A arguments",gai,,,This pronoun may be a reduced form of [gaida](gaida); functions not well understood.,,,,
SN000340,"3rd person prefix of the ""fourth"" (IV) agreement series",gai-,,,,,,,
SN000341,3rd person topic pronoun,gaida,,,,,,,
SN000342,"swell, rolling waves at sea",galung,,,,,,,
SN000343,person or people from a particular location or institution,ganing,,,"In this use, [ganing](LX000045) always occurs with a preceding noun denoting the location or organisation from which the person comes. Only occurs with a 3rd person inflection.",,,,
SN000344,3rd person inflection of the human classifier,LX000045,,,,,,,
SN000345,"space beneath, lower than (someone, something)",gapa,,,Only found in the 3rd person inflection.,,,,
SN000346,"group of them, the whole set of them; 3rd person plural group pronoun",gawi,,,,,,,
SN000347,"completely, totally",LX000046,,,,,,,
SN000348,"top, upper part (of something)",gayang,,,Only found in the 3rd person inflection.,,,,
SN000349,"prospective aspect marker, used for events which are imminent (about to happen) or intended to occur imminently",ge,,,This item occurs after the final verb of a clause.,,,,
SN000350,3rd person for possessors of alienably and obligatory possessed nouns,ge-,,,,,,,
SN000351,"3rd person prefix of the ""second"" (II) agreement series on verbs",ge-,,,Only a small number of verbs take this series.,,,,
SN000352,the one that X; kind of a nominalizer and resumptive prefix on verbs for fronted NPs,ge-,,,,,,,
SN000353,"go, move towards (a location, time)",gea,,,"This verb is followed by the location in space or time towards which the movement takes place. ; This verb may originally have been an inflection of [-a](-a) 'go down', that has fossilised with a third person prefix.",,,,
SN000354,"later, after, some time in the future; can refer to any time in the future, imminent or otherwise, may be in the same day or even in the same hour",geina,,,,,,,
SN000355,clause-final adverb often used to imply a warning or concern is being conveyed,geina,,,,,,,
SN000356,"he/she/they on their own without assistance, unaided; 3rd person independent pronoun",genal,,,,,,,
SN000357,he/she/they agent; 3rd person agentive pronoun,geta,,,,,,,
SN000358,"put, place (particularly into standing position)",geti,,,Medi is only required with this verb to introduce the placed item when the agent is explictly coded in the clause.,,,,
SN000359,"be put or placed in a location, be present (of inanimates)",LX000047,,,,,,,
SN000360,3rd person focus pronoun,gewe,,,,,,,
SN000361,"his, hers, its, theirs; 3rd person possessive pronoun",geweng,,,,,,,
SN000362,but; clause-final sentence connector denoting that the following clause is in contrast or impossible in relation to the previous one,gewengpo,,,,,,,
SN000363,"so that, in order that, for the purpose of; clause-final sentence connector marking an action producing an intended result or a cause producing an effect",gewengsi,,,,,,,
SN000364,"first, then; priorative clause-final sentence connector signalling that the marked clause denotes an event prior to the one in the following clause",gewengte,,,,,,,
SN000365,"the two of them, those two; 3rd person dual pronoun",ginuk,,,,,,,
SN000366,numeral augmenter; item used to introduce numerals that occur between decades,gresing,,,,,,,
SN000367,teacher,guru,,,,,,,
SN000368,"teachers, group of teachers or instructors",guru_kabu,,,Kabu is only used in a lexical parallelism with [guru](guru).,,,,
SN000369,"sheath, cover of a machete that is empty",LX000048,,,,,,,
SN000370,"s/he too, also; 3rd person additive pronoun",LX000049,,,,,,,
SN000371,"they, them together; 3rd person ""together"" pronoun",LX000050,,,,,,,
SN000372,"all of them, they all; 3rd person ""all"" pronoun",LX000051,,,,,,,
SN000373,"he/she/it, they alone, by oneself, by themselves; 3rd person alone pronoun",LX000052,,,,,,,
SN000374,"each respective, respectively",LX000053,,,,,,,
SN000375,X days previous to today or time of reference,LX000054,,,This item is followed by a numeral (two or above) specifying how many days previous is meant.,,,,
SN000376,"buy, pay for",LX000055,,,,,,,
SN000377,"senior, relative who is older than ego",idem,,,,,,,
SN000378,"young and old, all the family",idem_olik,,,,,,,
SN000379,vocative for calling to elders and/or higher status,idem_saku,,,,,,,
SN000380,red in colour,ik,,,,,,,
SN000381,"seed, pip (inside fruit), seed pod",iko,,,,,,,
SN000382,"earlier, previously, longer time ago than [ikpid](ikpid)",ikpang,,,,,,,
SN000383,"before, earlier (still very recent), less time ago than [ikpang](ikpang)",ikpid,,,,,,,
SN000384,"wave that breaks on or near the shore, surf",ilal,,,,,,,
SN000385,"catch sight of from a distance, see from far away",ilel,,,,,,,
SN000386,"choose out, select, sort out (from one another)",ilemel,,,,,,,
SN000387,(of fish) scale,-iling,,,,,,,
SN000388,"river, stream; any flowing body of fresh water",ilu,,,,,,,
SN000389,"clean, not dirty",inali,,,,,,,
SN000390,"shellfish and other creatures that scavenged in the intertidal zone, particularly when the tide is out and much of the beach is exposed",inem,,,,,,,
SN000391,"now, today",ing,,,,,,,
SN000392,pus,ini,,,,,,,
SN000393,be of a different sort,inino,,,,,,,
SN000394,sand,inipak,,,,,,,
SN000395,"on purpose, deliberately",inising,,,,,,,
SN000396,"now, at the present time or moment",ino,,,,,,,
SN000397,"today, on or in the course of this present day",ino,,,,,,,
SN000398,benjamin fig; species of fig tree,inuku,,,,,Ficus benjamina,,
SN000399,just now (more recent than [ikpang](ikpang) and [ikpid](ikpid)),ipte,,,,,,,
SN000400,water,ira,,,,,,,
SN000401,juice from a fruit,ira,,,,,,,
SN000402,water container made of one or two joints of bamboo,ira_bok,,,,,,,
SN000403,well (for drawing water),ira_bok,,,,,,,
SN000404,water spring,LX000056,,,,,,,
SN000405,"puddle, small pool or pond of standing water (smaller than ira kowali)",ira_kou,,,,,,,
SN000406,"small lake, pond (larger than [ira kou](ira_kou))",ira_kowali,,,,,,,
SN000407,waterfall,ira_taing,,,,,,,
SN000408,"wash, give (someone) a wash",ira_-weli,,,Compound of [ira](ira) 'water' and [-weli](-weli) 'bathe'.,,,,
SN000409,"sloppy, soft and split as a result of being cooked or heated such that its skin splits",irada,,,,,,,
SN000410,crazy,iraing,,,,,,,
SN000411,fly,ire,,,,,,,
SN000412,be cooked such that it becomes mush (suitable for a baby),irebeng,,,,,,,
SN000413,lead,ireng,,,,,,,
SN000414,wet,ires,,,,,,,
SN000415,"strong, swift (of a current)",iring,,,,,,,
SN000416,itchy,iruk,,,,,,,
SN000417,have allergic reaction,iruk,,,,,,,
SN000418,body,-is,,,,,,,
SN000419,meat,-is,,,,,,,
SN000420,whole body from top to tail,-is_-bak,,,,,,,
SN000421,"skinny, emaciated",-is_boli,,,,,,,
SN000422,"right one's wrongs, make amends for one's mistakes",LX000057,,,The noun [-is](-is) agrees with the A.,,,,
SN000423,"descale, remove the scales from a fish",isik,,,,,,,
SN000424,"fetch, draw (water)",itu,,,,,,,
SN000425,"be alike to, be similar to; similative preposition",iwe,,,The prepositional construction with [iwe](iwe) appears to be in free variation with the circumpositional construction with iwe ... gèning.,,,,
