ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Sense_IDs
XV000027,kvw,Adosi ba sok lot kana.,,,The pumpkin has already crept a long way.,,,SN000024 ; SN000440 ; SN000763
XV000028,kvw,Lèpong ba balte lanpangan ba adur punak gètati.,,,The wind blows and the field becomes full with ash.,,,SN000025 ; SN001153
XV000029,kvw,Aida tro miauing?,,,Where are you hiding?,,,SN000027
XV000030,kvw,eaidem,,,your parent's older sister,,,SN000029
XV000031,kvw,Purasi deing ilu gèbitirmi ailak mèdi.,,,The people of Pureman plant sweet potatoes by the side of the stream.,,,SN000030 ; SN000211
XV000032,kvw,Sobo aka medi bèlebel kana.,,,The house is surrounded by a fence.,,,SN000031
XV000033,kvw,pei ak,,,pig sty,,,SN000032
XV000034,kvw,Neta peia medi aka migètaing.,,,I released the pig in the stall.,,,SN000032 ; SN000860
XV000035,kvw,aka yoku,,,two weeks,,,SN000033
XV000036,kvw,aka wèditeng,,,Sunday,,,SN000034
XV000037,kvw,"Nea lang misi, akabong modote.",,,I was at the beach to cast a fishing line.,,,SN000035 ; SN000898
XV000038,kvw,Akal kèpe medisi ong ameng pas.,,,Get the rope made of sago with which to tie on the thatch.,,,SN000036 ; SN000059 ; SN001097
XV000039,kvw,Akamau durki wuing gewena.,,,The cat caught the mouse making it his own.,,,SN000037 ; SN000299 ; SN000361
XV000040,kvw,Tamak akar borong.,,,Tamarind is really sour.,,,SN000038 ; SN001330
XV000041,kvw,Samarai akar naung.,,,Oranges are not sour.,,,SN000038 ; SN001006 ; SN001202
XV000042,kvw,"Bosir tème ika, mèruka war akeng.",,,"Of the pebbles on the beach, some are red, some white and some black.",,,SN000040 ; SN000226 ; SN000976 ; SN001421 ; SN001494
XV000043,kvw,Nea ba aki gètati mono.,,,My mother calls from over there.,,,SN000041 ; SN000906
XV000044,kvw,Pèter mada akida.,,,Just that rice.,,,SN000042 ; SN001183
XV000045,kvw,"Gèmai wota pur amingsa, akida ming tadi mitaiteng.",,,"They arrived at the coconut garden, and right there they met.",,,SN000042 ; SN000063 ; SN001306
XV000046,kvw,Taida akoling tèpasi naung.,,,We don't eat dolphin.,,,SN000043 ; SN001101
XV000047,kvw,Tèma tèting yona akoling ba kengel gèko yono.,,,In the sea the dolphins are jumping over there.,,,SN000043 ; SN000461 ; SN000495 ; SN001442 ; SN001613
XV000048,kvw,pui akumi,,,bunch of betel nuts,,,SN000044
XV000049,kvw,Kasu akuima gènaing ali.,,,Buy all the piles of beans.,,,SN000044 ; SN000372 ; SN000450
XV000050,kvw,Bongkau ba alai mènis-mèniste.,,,Slice the cassava thinly.,,,SN000045 ; SN000223 ; SN000973
XV000051,kvw,Paku ba betengsi bong ba gai alar.,,,"Take that nail out, since that wood is loose.",,,SN000047 ; SN000190 ; SN000221 ; SN000339
XV000052,kvw,Alar ba medisi awil ba lekoi.,,,Take the cable and tie it to the fishing hook.,,,SN000048 ; SN000144 ; SN000653
XV000053,kvw,Sini sobo mi neta keng badu ali.,,,In the store I bought clothes.,,,SN000049 ; SN000459 ; SN000843 ; SN001242
XV000054,kvw,Neya gali kira medi nepar gemei alia.,,,My mother's brideprice of gongs and moko drums was used to pay (the brideprice of) my uncle's wife.,,,SN000049 ; SN000053
XV000055,kvw,Keng badu ba neta gali ledus lai.,,,I have negotiated a price for the clothes.,,,SN000050 ; SN000054 ; SN000459
XV000056,kvw,Naida nalia sèsau kèlal bal borong.,,,My brideprice contains drums and gongs.,,,SN000051 ; SN001294
XV000057,kvw,Nanal getia neta gali gedamu lebisar lai kana.,,,I have already agreed on the value of the goods that are here.,,,SN000052 ; SN000359 ; SN000627 ; SN001001
XV000058,kvw,Ira alo ba arabung kana.,,,The bamboo container has already burst.,,,SN000055
XV000059,kvw,Kutuala mèlengsa aloidu gèko.,,,The dog barks at night the whole night.,,,SN000056 ; SN000495 ; SN001020
XV000060,kvw,Kalang bong medisi alu gèpai.,,,Make a pestle with the wood of the gum-lac tree.,,,SN000057 ; SN000434
XV000061,kvw,Bong bal mona alulite ang tèwai boli.,,,"That big tree over there is sacred, so we can't go over there.",,,SN000058 ; SN000219
XV000062,kvw,Ol pok gèweli naungte ames bala.,,,"That child has not washed, so its skin is dirty.",,,SN000060 ; SN001511
XV000063,kvw,Nea gami leboli.,,,Mum's breast is wounded.,,,SN000061 ; SN000628
XV000064,kvw,Nal-nal deing ami geti.,,,Put the thing there,,,SN000062
XV000065,kvw,"Nea gailalangte, amira kuruna.",,,"Mother is sick, thus her milk is insufficient (in quantity).",,,SN000064 ; SN000532 ; SN000582
XV000066,kvw,Namsing.,,,I'm hungry.,,,SN000065
XV000067,kvw,Markus gamasing,,,Markus is hungry,,,SN000065
XV000068,kvw,Sèpir amuing gèlaitang kana.,,,The canoe has rounded the point.,,,SN000066 ; SN000572
XV000069,kvw,Nea pèter ba amuing kana.,,,Mother has already soaked the maize.,,,SN000067
XV000070,kvw,Pei aka ming amung borong.,,,The pig in the sty is very tame.,,,SN000068
XV000071,kvw,Ol pok ba amutungte lomu tèko aso getème naung.,,,"That child is naughty such that also if you say stuff repeatedly, it doesn't hear.",,,SN000069 ; SN000116 ; SN000749
XV000072,kvw,Markus amutungte sirwis gèpai lemèleng.,,,"Markus is hardworking, so he works until night.",,,SN000070 ; SN000960
XV000073,kvw,Anai ba lang mi gèpangte muing.,,,A whale died on the beach and it stinks.,,,SN000071 ; SN000585 ; SN000914 ; SN001089
XV000074,kvw,Aida anasu poko ako.,,,You live alone.,,,SN000072
XV000075,kvw,ane lat,,,flat plate,,,SN000073
XV000076,kvw,ane luk,,,"deep plate, bowl that can hold liquid",,,SN000073 ; SN000769
XV000077,kvw,Anekol gai tèla ba gèpai boli lai.,,,The whiteants have completely ruined the posts of the house.,,,SN000074 ; SN000218 ; SN001410
XV000078,kvw,Aser letati mona ang tèwai boli.,,,We can't go over there where there are steep rock faces.,,,SN000075 ; SN000110
XV000079,kvw,aning genanal,,,someone's stuff,,,SN000077 ; SN001001
XV000080,kvw,aningkang bal,,,lots of people,,,SN000078
XV000081,kvw,Aningkang ba gèdai gèmai lebal.,,,The people are arriving until there are many.,,,SN000078 ; SN000624
XV000082,kvw,Gèdeina Markus anta mela?,,,Is his name Markus or what?,,,SN000079 ; SN000832
XV000083,kvw,"Nèwaia anta nanu, newe nadi kida.",,,"Whether I go or not, it's up to just me.",,,SN000079
XV000084,kvw,Ante neta kuli ira kowali mi amekeng adai ge?,,,So do I have to pull you out of the pond?,,,SN000080 ; SN000406 ; SN000830
XV000085,kvw,"Ol ba no lailol gewengpo, de ante pante.",,,"The child has been going to go, but keeps putting it off.",,,SN000081 ; SN000163 ; SN000362
XV000086,kvw,bong apa,,,lower part of a tree,,,SN000082
XV000087,kvw,Akamau mede apa mina.,,,The cat is beneath the chair.,,,SN000082
XV000088,kvw,Wèdina gea aperi legèdap.,,,"The sun has gone down, it's nearly evening.",,,SN000083 ; SN000353
XV000089,kvw,mèdali apaweri,,,tomorrow afternoon,,,SN000083
XV000090,kvw,Lomrang leneapo api gèmekeng naung.,,,"I lower (a line) into the deep, open sea, but I didn't catch any fish.",,,SN000085 ; SN000616 ; SN000748
XV000091,kvw,Basar ba api pura bala.,,,At the market there are lots of fresh fish.,,,SN000086
XV000092,kvw,Apikal ayakeng leter kana.,,,The stars are covered by the clouds.,,,SN000087 ; SN000722
XV000093,kvw,Pèter mada apokida pangte anaite.,,,"That's the only rice, so eat it.",,,SN000088
XV000094,kvw,"Besi ba arabungte, ira ba pèsikir lai.",,,"The iron pipe bursts, so all the water spurts out.",,,SN000089 ; SN001177
XV000095,kvw,Nea arak ta.,,,My mother plants rice.,,,SN000090
XV000096,kvw,keng arakang,,,cloth for resting something else on,,,SN000093
XV000097,kvw,"Ol pok gètai mongsa, gekeng medi arakangte.",,,"If a child goes to sleep, put a cloth down to support it.",,,SN000093 ; SN000905
XV000098,kvw,"Neta ol pok arakes medina, irebeng lai.",,,I get rice for the child to make mush.,,,SN000094 ; SN000412 ; SN000985
XV000099,kvw,Nearama Barboling.,,,My lineage group is Barboling.,,,SN000095
XV000100,kvw,Markus ba mèdokte lomu aras getèmedi.,,,"Markus stutters, such that he speaks with great difficulty.",,,SN000096 ; SN000351 ; SN000943
XV000101,kvw,adayoku miarasoku,,,forty,,,SN000097
XV000102,kvw,Netamu ong areingte!,,,Take grandmother off to be buried.,,,SN000098
XV000103,kvw,Netamu mèlenya areni.,,,Grandmother was buried yesterday.,,,SN000098 ; SN000961
XV000104,kvw,Neta gewaka atu ba aresi pèkodaa.,,,I massaged the swollen foot so it burst.,,,SN000099 ; SN001170
XV000105,kvw,Neta gewak ba areisa.,,,I massage his foot.,,,SN000099
XV000106,kvw,Bong ba aroste.,,,Sand down the wood.,,,SN000100
XV000107,kvw,Aruba gètati uditeng yoku.,,,The southeast wind has been blowing for two days.,,,SN000101 ; SN001340
XV000108,kvw,arudi mei,,,man's younger sister,,,SN000102
XV000109,kvw,arudi lèmi,,,woman's younger brother,,,SN000102
XV000110,kvw,atoku aruk,,,dry land,,,SN000103
XV000111,kvw,Badu aruka.,,,The shirt is dry.,,,SN000103
XV000112,kvw,Ilal ba gèdai aruk-aruk lewali.,,,Big waves came up covering the dry land.,,,SN000104 ; SN000384 ; SN000730
XV000113,kvw,Arus pei gèbukur kur mitèlam.,,,The deer has six branches to its antlers.,,,SN000105 ; SN000231 ; SN000842 ; SN001411
XV000114,kvw,Neta arus pei wesi gèpana.,,,I shot the deer dead.,,,SN000105
XV000115,kvw,Nemurik oba medi asa luk migètaing.,,,I've cast my losses into the deep sea.,,,SN000108 ; SN000860 ; SN000928
XV000116,kvw,Aser ba wakar tèmidi ayang leng.,,,We climb up the rock face to get to the top.,,,SN000109
XV000117,kvw,Ol pok deing aser pède.,,,The children head upwards.,,,SN000111
XV000118,kvw,Ol pok deing aser pède gèmida.,,,The children go up the mountain.,,,SN000111
XV000119,kvw,Gaida asiding mitu.,,,He sneezed three times.,,,SN000112 ; SN000341 ; SN001375
XV000120,kvw,Asing ba tuku poko.,,,The story is short.,,,SN000113 ; SN001379
XV000121,kvw,Uteng asir wali kana.,,,Put some salt on the vegetables.,,,SN000114 ; SN001491
XV000122,kvw,aska no,,,one hundred,,,SN000115
XV000123,kvw,Nènai borona aso de naung.,,,I also haven't eaten yet.,,,SN000116 ; SN000262 ; SN000981
XV000124,kvw,Workèdede gekurenaso pèlita.,,,The frog's bottom was also sharp.,,,SN000116
XV000125,kvw,Neta kape asoko wagènir.,,,I pass the rope to him.,,,SN000117
XV000126,kvw,"Mei poko kander legèmiti laite, asoko gèwai.",,,"Once the girl has sat on the chair, she slides (it) away.",,,SN000118
XV000127,kvw,"Laite, gai gètena asoko gèmida.",,,"After that, he reached up with his hand.",,,SN000119
XV000128,kvw,Uditenga teta ato amuing kana.,,,We have already agreed on a time.,,,SN000120
XV000129,kvw,Sekok pèter atok.,,,The chicken pecks the maize.,,,SN000121 ; SN001212
XV000130,kvw,Munu ba gemèkal mingte gai tadi atoksa lèmang atua.,,,"That snake is poisonous, so if it strikes someone, they will immediately swell up.",,,SN000122 ; SN000339 ; SN000777 ; SN000920 ; SN000948 ; SN001305
XV000131,kvw,Ol pok gatok ba kespak mina.,,,That child has worms in his stomach.,,,SN000123 ; SN000463
XV000132,kvw,Kris saku ba gatok sibai.,,,Chris has a fat belly.,,,SN000124
XV000133,kvw,"Teta aser wakar gèwai wodo yokusa, lèmang atoku lat mitaiteng.",,,We went up for two hours until we got to flat land.,,,SN000125 ; SN000589 ; SN000778 ; SN000892 ; SN001485 ; SN001534
XV000134,kvw,Atoku aweri teta bèkar seda.,,,We have already divided up our lands.,,,SN000126 ; SN000238
XV000135,kvw,Aya keng kum no atoku bobung legèmit.,,,A round cloud is on a mountain.,,,SN000127 ; SN000607
XV000136,kvw,Atrona?,,,Why that? What's the deal with that?,,,SN000128
XV000137,kvw,"Gewak boli ba atute, geini ba pèkodo naung.",,,"His bad foot was swollen, and the pus wouldn't come out.",,,SN000129 ; SN000218
XV000138,kvw,"Pur mi lailol nèkoa, neta atu lemira.",,,"When I was walking in the garden, I stepped in shit.",,,SN000130 ; SN000673
XV000139,kvw,Oba se atu muing.,,,This smells like chicken shit.,,,SN000130 ; SN000913
XV000140,kvw,nyatu,,,our faeces,,,SN000131
XV000141,kvw,Kutual ba atupaka.,,,The dog is greedy.,,,SN000132
XV000142,kvw,Aukol medisi tèbak tènai.,,,Use the lontar leaves to have a smoke.,,,SN000134
XV000143,kvw,mèna aumeng,,,another village,,,SN000135
XV000144,kvw,Nyaumeng.,,,We are scared,,,SN000136
XV000145,kvw,"Nènirko mèkupte, awaki nèko.",,,I am sleepy and keep yawning.,,,SN000137 ; SN000953 ; SN001345
XV000146,kvw,Sobo ba biting makang awe.,,,The house is full of shit.,,,SN000138 ; SN000209
XV000147,kvw,Ilu yona bemberlak awe.,,,It's replete with butterflies down by the river.,,,SN000139 ; SN000186 ; SN000388
XV000148,kvw,Nekureng lilil awe.,,,My bum is covered with ringworm.,,,SN000139 ; SN000739
XV000149,kvw,Ota aweri arasok lakala.,,,There are 4 bunches of coconuts.,,,SN000140
XV000150,kvw,Bong awesing poda.,,,That branch is broken.,,,SN000141
XV000151,kvw,bilikai awi no,,,a payaya fruit,,,SN000142 ; SN000197
XV000152,kvw,Pis awi no wanènir.,,,Give me a mango fruit.,,,SN000142
XV000153,kvw,Soal awi yoku diari.,,,Fry two eggs.,,,SN000143 ; SN001257
XV000154,kvw,Nenang poko awing.,,,My older sibling was a little surprised.,,,SN000145 ; SN001002
XV000155,kvw,Ing wèditena aya bal mai ge.,,,Today there's going to be a lot of rain.,,,SN000146 ; SN000349 ; SN000391
XV000156,kvw,Aya keng wuding borong.,,,The clouds are very dark.,,,SN000147
XV000157,kvw,Mèlenya aya lèpong bal borong.,,,Last night there was a very big storm.,,,SN000148
XV000158,kvw,Nanal ba ayekeldu.,,,These things are all light.,,,SN000150 ; SN000289
XV000159,kvw,Neta nanal medi lemari gai ayanamo migeti.,,,I put things in the top of the cupboard.,,,SN000151
XV000160,kvw,Gaida aning ayang.,,,He is a tall person.,,,SN000152
XV000161,kvw,Sobo ba ayang.,,,That house is high.,,,SN000152
XV000162,kvw,Neta medi ayang legeti.,,,I will put it on top.,,,SN000153
XV000163,kvw,Pei mada kirsi medi ayang lelakala.,,,String the pig meat on the thread and hang it up high.,,,SN000153 ; SN000488
XV000164,kvw,ayang leng ganing,,,people of the highlands,,,SN000154
XV000165,kvw,Gaideina ayang tona migèko.,,,They live in the high regions.,,,SN000155 ; SN000845 ; SN001363
XV000166,kvw,kutual ayarang,,,vicious dog,,,SN000156
XV000167,kvw,kutual ayarang tèduk,,,very vicious dog,,,SN000157
XV000168,kvw,Ayebur borona nèwentur nèdaia.,,,In the beginning I was first one to come.,,,SN000158 ; SN001512
XV000169,kvw,Ayepang ba getia dum borong.,,,The boards that are there are very thick.,,,SN000159 ; SN000296
XV000170,kvw,Ayepeng medisi teta bat bloing gèpai.,,,Get the board so we can make a carving.,,,SN000159 ; SN000184
XV000171,kvw,Pei ba deina bali kane?,,,Have the pigs been feed?,,,SN000160 ; SN000170
XV000172,kvw,"Nepa bong koli ba, pede pèlit ong.",,,"When my father fells a tree, he uses a sharp machete.",,,SN000161 ; SN000502 ; SN001540
XV000173,kvw,Bong ba getia medi kil gèpai.,,,Take the wood that is there and make a wooden pin.,,,SN000162 ; SN000477
XV000174,kvw,Neta badu madangte.,,,I'm going to put on a shirt.,,,SN000164 ; SN000800
XV000175,kvw,Neta pede bakal ba medi nèmet lepas.,,,I will tie the machete and its sheath around my waist.,,,SN000165 ; SN000837
XV000176,kvw,Nèbakar tètong be mèdita.,,,The side of my back is sore.,,,SN000166 ; SN001443
XV000177,kvw,Nèbakar tètong ong nètaite mèdita.,,,I slept on the side of my back and now it hurts.,,,SN000166
XV000178,kvw,Bakual usasite!,,,Blow the whistle!,,,SN000167 ; SN001469
XV000179,kvw,bong bala,,,big tree,,,SN000168
XV000180,kvw,Pur ba yona betekol bala.,,,In the garden there are a lot of grasshoppers.,,,SN000169 ; SN000192 ; SN001155
XV000181,kvw,Ol pok unang bala.,,,The child has a lot of lice.,,,SN000169
XV000182,kvw,Ol mèrung poko deina balisi gètaidu.,,,Give the little children food so that they will all sleep.,,,SN000170 ; SN000289 ; SN000978
XV000183,kvw,Baniak gèmai kana.,,,The guests have already arrived.,,,SN000171
XV000184,kvw,pei bar,,,pig's pen,,,SN000172
XV000185,kvw,nèbar kang,,,my right side,,,SN000174
XV000186,kvw,Sobo ba gèbar tètong lede laite.,,,Finish roofing one pitch of the house's roof first.,,,SN000175 ; SN000566 ; SN000632 ; SN001443
XV000187,kvw,Naida sobo gèbar mina.,,,I'm at the back of the house.,,,SN000176
XV000188,kvw,Neta nal-nal gèpai barang kana.,,,I prepared things so they are enough.,,,SN000177 ; SN000999
XV000189,kvw,nèbarang,,,my shoulder,,,SN000178
XV000190,kvw,Sak poko pède medi bong gèbarang gèpesi burika.,,,The man took the machete and chopped at the tree branch until it broke off.,,,SN000179 ; SN000336 ; SN001164
XV000191,kvw,Gula medi bas legeti.,,,Put the sugar on the shelf.,,,SN000180 ; SN000597
XV000192,kvw,"Mademang basar mi nyèmita, nal-nal gènaingle wai taing lai.",,,We stay at the market in Mademang until we have sold all the things.,,,SN000181 ; SN000999 ; SN001481
XV000193,kvw,gèbaseri,,,his ribs,,,SN000182
XV000194,kvw,Nèbaseri bong leng mèdita.,,,I was struck on the ribs by a piece of wood and it hurts.,,,SN000182
XV000195,kvw,bong bat,,,chisel wood,,,SN000183
XV000196,kvw,Wota bebe taing.,,,The coconut fell from the crown of the palm.,,,SN000185
XV000197,kvw,Nebeng aning tu gèdeina.,,,I have three siblings-in-law.,,,SN000187
XV000198,kvw,Aber.,,,You are strong.,,,SN000188
XV000199,kvw,Nal-nal uder nèber naung.,,,I am not strong enough to carry stuff.,,,SN000188
XV000200,kvw,Eta bula ba besite.,,,You scatter the millet.,,,SN000189 ; SN000233
XV000201,kvw,Gesèriping gènaing beteng gèdai.,,,All its root were pulled right up.,,,SN000190 ; SN001270
XV000202,kvw,beting sèlu,,,bamboo shoots,,,SN000191
XV000203,kvw,Nèwai eka beting koli ge.,,,I am going to cut down some bamboo.,,,SN000191 ; SN000315 ; SN000349 ; SN001477
XV000204,kvw,"Saku pok deing Timur mina, bias gelokmang keng ik medi pas.",,,Timorese people typically take a cloth and tie it to the head.,,,SN000193 ; SN000741 ; SN001097
XV000205,kvw,Lèmia bika.,,,The man is strong.,,,SN000194
XV000206,kvw,Biki gèpai sèning.,,,Don't do it up tight.,,,SN000194
XV000207,kvw,Bik gèmidi.,,,It's too steep.,,,SN000195
XV000208,kvw,Aida lèbur bik.,,,You always lie.,,,SN000196 ; SN000773
XV000209,kvw,Bilikai geiko bal.,,,Papaya seeds are big.,,,SN000197 ; SN000381
XV000210,kvw,Gèbir bal.,,,His mouth is big.,,,SN000198
XV000211,kvw,Mei poko gètati gèbir ak.,,,A girl stands with her mouth open.,,,SN000199
XV000212,kvw,nèbir kèlut,,,my lips,,,SN000200
XV000213,kvw,Naida lemari gèpai birasi.,,,I've taken the cupboard to bits.,,,SN000202
XV000214,kvw,Kome gèdaite sobo ba birasi.,,,The earthquake shook and the house collapsed.,,,SN000203 ; SN000249
XV000215,kvw,Kot ba birasi lai.,,,The stone wall has already broken up.,,,SN000203 ; SN000507
XV000216,kvw,"Basar lai kana, aningkang biresi.",,,"Once the market was over, the people dispersed.",,,SN000204
XV000217,kvw,Biring ba eta ledede sèning!,,,Don't pick at the boil!,,,SN000205 ; SN000634
XV000218,kvw,Aning yoku no gètati bisara.,,,Two people stand together and talk.,,,SN000206 ; SN001021
XV000219,kvw,Marten saku bisar ba lor borong.,,,What Marren says is absolutely correct,,,SN000206
XV000220,kvw,Saku deing gèmit bisara mèngada.,,,The elders are sitting and conversng.,,,SN000207
XV000221,kvw,bit sèni,,,plait a mat,,,SN000208 ; SN001285
XV000222,kvw,Adol gèbitir tèler.,,,The bird has broad wings.,,,SN000210 ; SN001415
XV000223,kvw,ilal gèbitir,,,part of the beach where waves break,,,SN000211
XV000224,kvw,Newe bloing.,,,I am the one who writes.,,,SN000212
XV000225,kvw,Sikol deing bloing sikeri gèko.,,,The school kids are always drawing.,,,SN000213
XV000226,kvw,Tènaing dèra bo!,,,We are singing!,,,SN000214
XV000227,kvw,Aki nèko bo!,,,I'm calling!,,,SN000214
XV000228,kvw,Nal no naungna amidi bo!,,,"Don't worry, just get up there!",,,SN000214 ; SN000985
XV000229,kvw,Aning tème bobung ayang legètati.,,,Some people are standing on the top of the hill.,,,SN000215
XV000230,kvw,Abok.,,,Push you away.,,,SN000216
XV000231,kvw,Neta bong ba gèbok modo.,,,I pushed over the tree.,,,SN000216 ; SN000896
XV000232,kvw,tèma boli,,,rough sea,,,SN000217
XV000233,kvw,Unar boli.,,,The unar fish is bad.,,,SN000217 ; SN001463
XV000234,kvw,Wota ba tèpasi boli.,,,We can't eat the coconut.,,,SN000219
XV000235,kvw,bong gèbarang,,,tree branch,,,SN000220
XV000236,kvw,"Bong wor semelsi, teta sobo gèpai.",,,Get building materials so we can make a house.,,,SN000222
XV000237,kvw,Ira ba mèkal borong.,,,The water is very salty.,,,SN000224 ; SN000947
XV000238,kvw,Teta ulunang gèdir eseng borong.,,,The Milky Way is clearly to be seen.,,,SN000224 ; SN000326 ; SN001459
XV000239,kvw,"Markus nal-nal borong medi ba, dai alaku kida.",,,Markus takes things by means of trickery only.,,,SN000225 ; SN000250 ; SN000472
XV000240,kvw,Sèpir ba borong mialar gèwai Kolana.,,,The canoe is only sailing to Kolana,,,SN000225 ; SN000335 ; SN000855
XV000241,kvw,Borong lomu!,,,Just say it!,,,SN000225 ; SN000749
XV000242,kvw,Pèter lèpa botong tu gètati.,,,There are three cobs of young maize.,,,SN000227 ; SN000785
XV000243,kvw,Kutual ba braing.,,,The dog is vicious.,,,SN000228
XV000244,kvw,Sèpir ba bruking wali kana.,,,The canoe has already got a motor on.,,,SN000229 ; SN001492
XV000245,kvw,Ol pok bong ba lewakar gèmidi gèbul mina.,,,A child climbs the tree until the middle and then climbs up to the end.,,,SN000232 ; SN000728
XV000246,kvw,buler bal,,,lots of flies,,,SN000234
XV000247,kvw,Abeli ba buler legèmita.,,,There is a fly on the wall.,,,SN000234 ; SN000607
XV000248,kvw,Kèpe ba burika.,,,The rope has snapped.,,,SN000235
XV000249,kvw,Lèmi poko gai kèpe ba gèmekeng burika.,,,The man pulls the rope until it snaps.,,,SN000235
XV000250,kvw,Wota butung lang ba bala.,,,There are a lot of coconut husks on the beach.,,,SN000236
XV000251,kvw,Bèkar sèning.,,,Don't divide it,,,SN000237
XV000252,kvw,Pèter mada bèkar ol poko deing wagènir.,,,Divide us the maize amongst the children.,,,SN000237 ; SN001182 ; SN001473
XV000253,kvw,Pèter araka bèkar sede lai.,,,All of the grain has been given out.,,,SN000238
XV000254,kvw,Bilikai bèkot lai kana.,,,I picked the papaya.,,,SN000239
XV000255,kvw,Gèwerimang bèlas.,,,Slap his cheek.,,,SN000240 ; SN001515
XV000256,kvw,Naida lailol bèlebel.,,,I walk in a circle.,,,SN000241
XV000257,kvw,Aning tu no gèmur bèlebel-bèlebel.,,,Three people run around in circles.,,,SN000241
XV000258,kvw,Markus gol deing newe bèlet nèko.,,,I am the serve Markus' children.,,,SN000242
XV000259,kvw,serwis bèlete,,,do a job,,,SN000243
XV000260,kvw,Ol pok ba irainte gewak ba dadu wali kana.,,,"Because the kid is crazy, his feet have been put in shackles.",,,SN000244
XV000261,kvw,Naida nèwai dagang trai.,,,I went to conduct trading.,,,SN000245
XV000262,kvw,Yèdai nalengte.,,,You lot come up to me here.,,,SN000246 ; SN000682
XV000263,kvw,Neta ol pok sèkau gèdai.,,,I lift the child up to cradle.,,,SN000246
XV000264,kvw,Neta nesèpir be gèmekeng gèdai leser.,,,I pull the canoe up onto dry land.,,,SN000247 ; SN000704 ; SN000830
XV000265,kvw,Mèdalisa saku idem gèdai ge.,,,Yesterday an important person arrive.,,,SN000248 ; SN001190 ; SN001196
XV000266,kvw,Aning tèpa ipite gèdai gèmai.,,,Guests have just started arriving from all over.,,,SN000251 ; SN000399 ; SN001434
XV000267,kvw,"Ol poko neta borong wai mèrekite, gèdai gèmai.",,,I shout and call for the children so that they come from all over.,,,SN000251 ; SN001479
XV000268,kvw,Neta pur ba daki lai.,,,I have already finished cleaning my garden.,,,SN000253
XV000269,kvw,Yaida dalang borong.,,,You are so lazy.,,,SN000254
XV000270,kvw,Pètar mèlengsa teta api dali.,,,This evening we will roast fish.,,,SN000255 ; SN001179
XV000271,kvw,Api dali ba teta ledalite.,,,Let's roast that fish until it is roasted.,,,SN000255 ; SN000600 ; SN000633
XV000272,kvw,Bong lak dali lus.,,,The leaves burn brightly.,,,SN000256
XV000273,kvw,damat lak,,,open door,,,SN000257 ; SN000573
XV000274,kvw,Damu ba pèlitte wuing kang-kang.,,,That needle is sharp so hold onto it well.,,,SN000258 ; SN001172
